id,smiles
ord-a24eb1a7d7e74b688d316ba4012c38f4_0,ClP1OCCS1
ord-d0a4e907f78d46ac9ad967836f2c0f96_3,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[CH](O)CC(C)(C)c1ccc(F)cc1
ord-1ffa6d2b914f46358351db5fa944536d_0,Oc1ccc(-c2nccs2)cc1
ord-e13f3a43cf4f456b92452b03e1590cab_3,Oc1cc(F)cc(F)c1
ord-157b05bda72b46399b46322f13efa189_0,CCOC(=O)C(F)(F)Oc1cccc(F)c1
ord-d7afdfdcdc424800a64cd2bf490b4e49_1,ICC1CC1
ord-d36814fdac9b4e77a07bdbd443b15151_0,COc1cc(-c2cc(Cl)ccc2C#N)c(C(F)(F)F)cn1
ord-50d04bc57d8d493bbf86638150ebe891_3,CCOC(=O)C1CCCC1
ord-ad1bdf8b1aac4ca799ba93a407c10f0f_1,COc1ccc([C@@H](O)[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1
ord-77b5c0b57b524353a8b81e99afa17583_0,C[C@@H]1CCCN(C(=O)c2c(F)cccc2I)[C@@H]1CN1C(=O)c2ccccc2C1=O
ord-6fc2cb6fd89b4fd79f53a2b916b1aa7d_2,CCn1cc(-c2cc(C(F)(F)F)n3nc(Br)cc3n2)c(C)n1
ord-91d471fa7af5481aa6e1236715a8cbd7_0,COc1c(Cl)cc(C(=O)O)cc1OC(C)C
ord-9349328707fc41c88b1215c50e613905_0,COC(=O)C1CC(=O)c2ccccc21
ord-1a9b87101a5348aba0cbbb1d20907c6f_0,Nc1ccccc1C(=O)N1CCCCC1
ord-901d954f193c43aca74ff7cd531634b3_0,C#CC1(O)c2cc(OC)ccc2CC(N(C)S(=O)(=O)c2ccc(C)cc2)C1(C)C
ord-7ccd459c441e4a12a41d3f3fa207264e_2,CCCCCC(=O)/C=C/Br
ord-83d4cad06bbf47f88a12dda05356e6f9_1,COC1OCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(C)C
ord-f932251f261f4026a334df9d14d9d324_0,CC(C)(C)OC(=O)N1CCN(c2cc(F)c([N+](=O)[O-])cc2F)CC1
ord-527e8196511f42098723af5df7ef2eb6_0,CCOC(=O)c1nc(C(C)C)sc1N
ord-86101a0f033f487ca7f28b2ac19977a7_0,COC(=O)CNC(=O)Cc1csc(NC(=O)Nc2ccc(C)cc2OCC(C)C)n1
ord-e30272791a7d4c4ea11e97c59b3a195c_0,O=C1[C@H](O)Cc2cc(Cl)c3[nH]ncc3c2CN1CC(F)(F)F
ord-b44766811cd84b02aba4b1a60deeef63_0,CC(C)C(NS(=O)(=O)c1ccc(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)cc1)C(=O)OC(C)(C)C
ord-8e64dcc6990b40be99c8d84eb4c6fd47_0,CCOCn1ccnc1C(=O)C(C)=CC(C(C)C)N(C)C(=O)OC(C)(C)C
ord-97d43fb05c84418194af49e088543030_0,CC[C@H](C)[C@@H](C(=O)OC(C)(C)C)N1CCN(Cc2csc(CNC(C)C)n2)C1=O
ord-f52459c799d142a992c7878649035fde_0,CCn1cc(CN(C(=O)C2CCCc3c(O)cccc32)c2ccc(C(C)C)cc2)cn1
ord-1ba44a4edbe843d7a6f5e8ff78111968_0,COC(=O)c1cncc(-c2ccc(CCO)cc2)c1
ord-8049ec9228b844419068099866b521d5_0,CSc1cc(-n2nc(C)cc2N)ncn1
ord-deec3cbc1ce04a068b37209f3647e0cf_0,CCn1ncc(CN2CCN(c3nccnc3Cl)CC2)c1C
ord-820bfd16a99f427b9803874abbcbc2fc_1,O=C(O)c1nc2c3c(N4CCOCC4)cccc3on2c(=O)c1OCc1ccccc1
ord-a8c2f64b9b9247dda187dfb903df2317_1,Cc1cc(C(=O)c2ccccc2)c(C)n1C(C)C=O
ord-70f5cfcf297b4dba9e4b1d43b17bba4a_3,COC(=O)C1=CC=CC(C=O)(OC)C1
ord-6fcebd23b8294e7dbcbcb0151c07f74e_5,O=Cc1cnc(N[C@@H]2CCN(Cc3ccccc3)C2)c(Cl)c1
ord-222e3aa607f44266a42c840c4b1d7222_3,Sc1nc2ncccc2o1
ord-731f16c494344977a16838d401df8d57_1,CC1(C)OB(c2cccnc2Oc2ccc(N)cc2)OC1(C)C
ord-71e925be36264142835d3d4e5103cc59_1,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1
ord-4cd8ce9ee4784c2090da6beb294a5fd8_0,CC(C)(C)[C@@H]1CC[C@@H](NC2CCc3cc(Br)ccc32)CC1
ord-566f21af39df40fe9df94d26e370628e_0,C[C@@H]1CN(c2ncccc2Cl)CCN1c1cc(-c2ccc(F)c(Cl)c2)nc(S(=O)(=O)Cc2ccccc2)n1
ord-419eeb5ce9074370ac3fe667ca7557e9_10,COC1CCC(O)CC1
ord-a870a0c1965147ce963c177be784b19c_2,CC(C)(CO)C(=O)O
ord-5efa8dc105224ab6971254ee60ac5785_1,CCCCCC1CCC([SiH]2CCC(O)CC2)CC1
ord-c279d885aaa140f9bb11cee7ab004c31_0,Fc1ccc(-c2cnc(Cl)nn2)cc1
ord-287eb5caada947d5b627140bf2b53e50_1,CCOC(=O)C#CC1CCCCC1
ord-38700c80b71a4c1fae1a04124d6c81ec_0,COc1ccc(S(=O)(=O)N2CCN(Cc3nc4ccccc4c(=O)[nH]3)CC2)cc1
ord-ec82a635a1a94ca1a34a929cb9925964_1,COc1cccc2cc(C(=O)O)c(=O)oc12
ord-7178a145461e4c2c82d007310a729b96_0,Cc1c(CO)sc2cc(C(F)(F)F)ccc12
ord-f98c28c191854007aa533c27540e2eba_0,C[C@H](NC(=O)OC(C)(C)C)C1=NC=C2C=C(F)CCC3=C2N1CC3
ord-ea8a46126bf6484e98dfc4c46f09fd73_2,COC(=O)[C@H]1C[C@@H](OS(=O)(=O)c2ccc(C)cc2)C1
ord-a2dc4019f1f24d7baeecf24eb9e1108a_0,CCCCCCc1ccc(-c2c(C(=O)OCC)nn(C(C)(C)Cc3ccc(C)cc3)c2O)cc1
ord-dd0276d6552140f5b27c8e588b76a33b_0,CCc1cc(-c2noc(-c3cc(OC)nc(C(CC)CC)c3)n2)cc(C)c1O
ord-4a3bbba41d5744c88444d97f02a1ccda_1,CON(C)C(=O)c1ccncn1
ord-6a11e224b0f844e68512935309438bc0_0,Cc1nccn2c([C@@H]3CC[C@@H](N4CCN(C)CC4)CC3)nc(Br)c12
ord-433d77258b144f31aceeca9b60c1f6c9_0,CC(NS(=O)C(C)(C)C)[C@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)C1
ord-14ec1fb4e65f476489de835396448f41_0,C[Si](C)(C)CCOCn1cc(C(=O)O)c2nc(-c3nn(CC(=O)N4CCOCC4)c4cc(F)ccc34)cnc21
ord-9dbf4e7f79d54b2da397043cb598ed23_1,C[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1
ord-1183ab9a9abe406ba5a5e4d98980d3f9_0,O=C(CSc1ccccc1)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
ord-ff5c61ebe03a4d6f9b61e4ed1aa7e9c3_6,O=CC1C2CCC(CC2)C1c1ccccc1
ord-befeed9ee55e4e9cb09993ace7754c13_0,C=CC(OCc1ccc(CO)cc1)c1ccccc1
ord-271966fa3bd34eb7b7b40b0f1c058e96_1,C=COCC(C)C
ord-5936e7bc549e4b6fb065ba034a5c7d12_3,COc1ccc([C@@H]2CC[C@@H](CCCO)CC2)cc1
ord-90984768b5aa4b60b51c6de775db3813_0,CC/C=C(\C(=O)OC)c1csc(NC(=O)OC(C)(C)C)n1
ord-83f9c8dd0ec8417bb815acce618ee860_0,N[C@@H]1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(SCSc3c[nH]nn3)CS[C@H]12
ord-c88552f36c994360941e9ba2c29b7d17_0,N#CC(=CNc1ccccc1)C(=O)c1cccc(Cl)c1
ord-c0d48d462191431388f872acdbbcc501_1,CC(=O)c1cc(C#N)cc(NS(C)(=O)=O)c1
ord-9f4d3fe7de394d389d767fb21695dc1b_5,CCn1c(-c2ccc(N3CCCS3(=O)=O)cc2)c(C#N)c2ccc(OC(C)C)cc21
ord-e80eb58aa5344119934d44cb201ea057_0,CC(C)(C)OC(=O)N1CCC(N(C(=O)Nc2ncc(C=O)s2)C2CCCCC2)CC1
ord-ecb20ee5bf2c4ddfb9bd80f4c1be3d9c_0,COc1ccc2ncc(=O)n(C(C)CN3CCC(NC(=O)OC(C)(C)C)CC3)c2c1
ord-415cbe74a1d14afa97ec427c7083b3cd_0,COC(=O)C1=CN(c2ccc(O)cc2)C(C2CC=CCC2)CC1=O
ord-daec58fd56fb47368a463e11b5e2649c_0,Nc1ccc(-c2ccccn2)cc1
ord-74c9cbe69f214dfba5e32cd6dc78da3e_1,COC(OC)c1ccsc1Cc1ccccc1F
ord-f6ede0c4444047c1b7f684677621cdb4_0,O=C1c2ccccc2C(O)N1c1ccc2ccc(Br)nc2n1
ord-b5c233bafd7342148453bd61b190d816_1,O=[N+]([O-])c1oc2ccc(CCBr)cc2c1-c1ccccc1
ord-4ade95e16fe24f61a4fae448505a7cb0_2,CC(=O)c1ccc(-c2ccc(F)cc2)c(N)c1
ord-7ae7c1997b5c4f2e989aa6b5461b0e12_0,COc1cccc2c1CCC2=O
ord-fab5cd59d5aa49b9bbb2be74ce627349_0,CC(C)(C)[Si](C)(C)OCC1=CC=C(COc2ccccc2C(F)(F)F)SS1
ord-62b58b12b16246409ef872acfa573b56_0,COc1ccc(-c2nc(CCl)nc3cc(OC)c(OC)cc23)cc1OC
ord-6d88c90eb5a74c8b9462d58f2462dfa3_1,CC(O)Oc1ccc(O)cc1
ord-ed5cb049445e47af94a362502726c457_0,COC(=O)/C=C/c1ccc(O)cc1
ord-bc99af307e574dab9ca36fa1ffcdde08_0,O=S(=O)(Cl)c1cnc(Cl)s1
ord-cbcfc47ef75f4ae7ac54054209348dc2_0,Nc1ncc(-c2ccc(Cl)cc2)cc1Br
ord-4a8a6afba1e84ff3830c63df09fe5aa2_0,OC1CC2C=CC1C2
ord-0b79629f94fe4efb8e266bd32f3cabb1_2,Cc1cc(Br)c2nc(Cl)n[n+]([O-])c2c1
ord-466b9600710d408c975be59d909d64cb_0,CCCc1cc(Cn2c(=O)n(C(=O)OCC)c3ccccc32)ccc1OC(C(=O)OCC)c1ccc2c(c1)OCO2
ord-41a92948adad4e869d141cb4288c12c7_1,Clc1cccc2c(C3=CCNCC3)c[nH]c12
ord-6799fe17465f415da90e813df5e786d8_0,Cn1c(Cl)c(-c2ccccc2)nc(-c2ccccc2)c1=O
ord-d9a344fa5efb47a38b46a7b2a2ece423_0,[N-]=[N+]=NC[C@@H]1CN(c2ccc(C3CN(C(=O)OCc4ccccc4)C3)c(F)c2)C(=O)O1
ord-236d39750575456dac7b784cf770896f_2,N[C@H]1CCCC[C@@H]1N
ord-18650eff5c70498eb30a642e0015673d_2,CCOC(=O)c1cnn(C(C)(C)C)c1C#N
ord-1e8bcf824f054058b353b6dfa5b0b7ed_1,CCCCCCCCC#CCC#CCC#CCBr
ord-f13065493ae64e4193aad861b7ecaefa_8,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
ord-446fcc6ab5c94ce39da226d4f26ea92d_1,NNc1cccc(OCc2ccc3ccccc3n2)c1
ord-ffb5e7a73f80478e95aef705d3ef800b_0,COC(=O)c1cc(N)ccc1Nc1ccccc1
ord-c05b15240a3e4c1882571da771102895_2,COc1ccccc1C(C)(O)Cn1ccnc1
ord-18adc4b738a840d8967bdca36696ded8_0,CCOC(=O)N1CCC(Nc2nc3cnccc3n2Cc2ccc(C)o2)CC1
ord-e49637337b39499fb60464279351b043_0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
ord-3dc897e7c99d4f3ba11d71ea75107495_1,CCNC(=O)C(C)c1ccc(C#Cc2ccc(O)cc2)cc1
ord-b072d1a30e0442cf89e12e65e6d0669e_1,CN1CCc2ccc(B3OC(C)(C)C(C)(C)O3)cc21
ord-456dc120aa244cb295713934b23d7400_1,N#CC1(c2cc(-c3cnc(N)c(-c4cc(-c5ccccc5)no4)n3)ccn2)CCCNC1
ord-8c65f5bf5241465bbacb8a779a1fc5e9_0,Cc1cc(NCCNC(=O)/C=C/C(C)C)c2ccccc2n1
ord-4aa6c05bcf6a49d8a81f22ed3d8ec902_0,Cc1cc(C)n(-c2ccc([N+](=O)[O-])cc2O)n1
ord-2abfda4e64324c5b9869a32e5436db68_3,COC(=O)c1cc(Br)c(C)c(CO)c1
ord-44bbbcfb60434c92a4115ff9a4c62cda_0,C[C@@H](c1ccc2nnc(-c3ccc4cccc(C(C)(C)C)c4n3)n2c1)N1CC[C@H](NC(=O)OC(C)(C)C)C1
ord-bc8de94e3a8b42c48397dab37f5701b3_1,CCOC1=NS(=O)(=O)C(C)(c2cccc(Br)c2)C(C)(C)O1
ord-ce3a389865564bb5838d1c323b8fa49d_0,Cc1ccccc1-n1nc2c3c(F)ccc(F)c3n(Cc3ccc(-n4cccn4)cc3)cc-2c1=O
ord-dfcad035ce1a425dbb61dbbca1cb6cce_0,Nc1ccn([C@@H]2CS[C@H](COC(=O)c3ccccc3)O2)c(=O)n1
ord-c5bdde8fc03c4916a1c00d07db02d4ed_0,N#Cc1ccncc1Br
ord-429d9048f2d049129c537c471698c7ed_3,O=C(CCCCCBr)c1nsc2ccccc12
ord-b5a7cbd289cb4d4c8494d165fb3217cd_0,Cn1cc([N+](=O)[O-])c(NC(=O)C(F)(F)F)n1
ord-811d0ae9be05406da82cf2c1e095b018_1,COc1ccc(N)c(Cl)c1
ord-51f6f6caf0b54d16a1db601f9700db44_4,CCNC(=O)Oc1cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c2c1C
ord-66b0f28336d749b08817bde2d86eaeff_0,Cc1ccc(-n2ncc(=O)[nH]c2=O)cc1C(=O)NCC1(O)CCCCCC1
ord-c1257fec8ba644eabdb1eb291a29aac7_0,CSc1cc(C(=O)O)nc2cc(Cl)ccc12
ord-45feb3582698417a8dfc24969f13cb0c_0,COc1ccc(N)cc1NC(=O)NC(=O)c1cc(F)c(F)cc1Cl
ord-cccc71e19d034744869a56f0a372cf5c_0,C=C(C(=C)c1ccc(OCc2ccccc2)cc1)c1ccc(OCc2ccccc2)cc1
ord-c0de8a02ad934412b2796506b0bef1b1_0,COC(=O)C1(O)CCOc2c(OC(F)(F)F)cc(Cl)cc21
ord-f6afcd1fcd7a4609b4668316af90c450_0,O=C1C[C@@H]2[C@@H](CO)[C@H](OC(=O)c3ccccc3)C[C@@H]2O1
ord-b912eaba23384d21b5d4e1751cf41837_4,COC(=O)C(=O)[C@@H](N)COCc1ccccc1
ord-a9ea0e969ed54b3d99c0a5f2605929ea_2,CC1(C)COC(c2ccccc2F)=N1
ord-920785c218cf4fe790f3acaf11cbf2de_0,C#CCC1CCC(=O)CC1=O
ord-044d5e6c806a4096998d0ec6e5832f7b_0,CCN(CC)c1ccc(C=O)c(OC(C)=O)c1
ord-94cac9818ebc47fc8870d28fe5377af7_2,C=CCC1(C=O)CC2C=CC1C2
ord-9a3dda8fcaa34b6db286e515c4201983_0,COc1cc(C)c(C(=O)c2c(Cl)cccc2Cl)cc1O
ord-782c29c503884c50985cba47e3f028ca_0,NC(CC(=O)O)C(=O)O
ord-3f6520d8d6664872bb44620eb6cd6fa1_0,Cn1c(C(F)(F)F)cc(=O)n(-c2ccc(Cl)c3cc(C=O)oc23)c1=O
ord-7fade6259fd94b63a9b5f12d79415956_0,C#CCNS(=O)(=O)c1ccc(C)cc1
ord-755ff58a002b41669386ac1fe6dcd4ec_1,Clc1nc(Cl)c2c3c(sc2n1)CCCC3
ord-ace8dcf44c4d42fbaccd8f0ff65ea684_1,Cc1csc2nc(Cl)nc(NCc3ccc4c(c3)OCO4)c12
ord-482ba82030834efaa2ec10e3b0158c05_0,CCOC(=O)C=Cc1cccc(C=CC(=O)OCC)c1[N+](=O)[O-]
ord-5647d04c62a144d0917b136f276b66e2_1,CNC1CCc2ccccc2C(O)(c2ccccc2)C1
ord-f2212cf6b92b4721b9f3208309557732_0,CCOC(=O)C(CCc1ccccc1)N[C@@H](C)C(=O)C1NC(C(=O)O)Cc2ccccc21
ord-3831341fb92747f1ab60d9042c3a3662_1,CCCCCC[C@@H](O)CC(=O)O
ord-3f02f4cc7e88499b911f566cb7c57a37_1,COc1ccc(-n2nc(CCC(=O)O)cc2-c2ccc(Cl)cc2)cc1
ord-a10a17ecde5a46e099259721299bde56_0,COCn1ccc2cc(OC)ccc21
ord-89ec0bbcbf7541dfb967985c5c4bf35c_0,COc1ccc(C2=C(C(O)c3ccc(OCCCN4CCCCC4)cc3)c3ccc(OC)cc3CC2)cc1
ord-945ef153dba84ba18f109338b2a3cf29_1,COc1ccc(C=CC(=O)O)c(Cl)c1OC
ord-fe67965e050e43a6b0878baca7d229e6_0,CCn1nc(C)c2c(Cl)c3ccccc3nc21
ord-f264d4326af84e5f8890e14e099bd60c_1,CCOC(=O)CC1CCc2cc(NC(=O)c3ccc(C=NN)cc3Cl)ccc2O1
ord-3181b67c5a0f42d1bf15c062eb87f522_0,CCOC(=O)n1c(C(=O)c2cccc(C)n2)c(NC(C)=O)c2cc(Br)c(Cl)cc21
ord-ade35400b7214814829f611f5787d0d3_2,CC(CCO)C(F)(F)F
ord-d04ead8f5eb34714bdb6584c69d3e4c2_2,[N-]=[N+]=NCCc1ccsc1
ord-d76c32d5f919429f8382959dda4c2d58_0,CCOC(=O)c1cc(OC)c(OCCCN2CCOCC2)cc1N
ord-4aebbde5ef2b4d129a0e062d0d9c91ca_1,CN1CCN(c2cccc(Br)n2)CC1
ord-85b7039681764b56b930fd22abf2fe66_0,CSc1ncc(B2OC(C)(C)C(C)(C)O2)cn1
ord-959372577c644e83871e7a227d001227_0,COc1ccc(-c2oc3ccc(NC(C)=O)cc3c(=O)c2OCc2ccccc2)cc1
ord-0ac2b40f71444ea392ef75a8fe9be649_0,CCn1c(=O)c(B(O)O)cc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21
ord-44aad11a2a3e4713a9592c3d1ded5f66_1,CC1(C)OB(c2csc(C=O)c2)OC1(C)C
ord-884a3c5d8d1e4eb396da9d8119bc3033_4,Nc1c(Cl)cc(C(=O)n2ccnc2)c2c1CCO2
ord-05ab6d1d93ee463db8eafbed59358037_0,CCCc1nnc(N)o1
ord-1a9aa6953a1d427ea3e6c7a55de9d6b7_0,COC(=O)c1ccc(C(O)CCc2cccc(O)c2)cc1Cl
ord-730beb1a9dc6452d8cfc984ce97552ee_0,N#Cc1ccc2c(ccn2-c2ccc(F)cc2)c1
ord-ca3436c740b24956bc5a081742452d80_0,CCOC(=O)CCCc1nc(-n2ccnc2C)oc1-c1ccc(F)c2ccccc12
ord-44fafc9aac4d41fba180520a70440753_0,Nc1ccccc1NNC(=O)OCC1CCN(c2ccncc2)CC1
ord-5951a44718054801958dd86594345d49_0,CCCC1(CCC)CN(Cc2ccccc2)CCC1O
ord-05edc4a1862240078977c9f8fc3a1a5f_0,C=Cc1cccc(CC)c1
ord-fa689865b1124a31a006ffd53beecd19_4,C=CC[C@H]1c2ccc(OC)cc2SC[C@@]1(C)c1ccc(OC)cc1
ord-0f42f5a908884eefaf27c6ca9362f030_0,Cc1cc(C(=O)O)c(OCc2ccccc2)c(=O)n1CC(=O)OC(C)(C)C
ord-d21d5a9936994361af1147f13b49b42e_0,COc1cccc(N)c1C(=O)NCc1ccccc1
ord-5b67af9bf40c45e49f31644160a14fbd_0,O=C(O)C(Br)c1ccc(Cl)cc1
ord-8e4e04d71abd4880861e6797d764abe4_0,Nc1cccc(Nc2cc(Nc3ccc(F)c(Cl)c3)ncn2)c1
ord-8ffe069a8393497fa46e9b253d98c8cb_0,O=c1c2ccc(O)cc2on1C1CCCCC1
ord-ad3db01db40e47b99ab8a43282354123_0,C[C@H]1CNCCN1c1ccc(Nc2cc(Cl)nn(C)c2=O)nc1
ord-639ec45650af4875a545357d0ad21e8b_1,Cc1cc(C)c(C2C(=O)C3C4CCC(O4)C3C2=O)c(C)c1
ord-7cf7ca2d4cb04730b3ec44195e576749_0,CC(=NO)c1ccc(O)cc1O
ord-db25fe33a69f4a41a8228bf6d9ebd57c_2,N#CCCOCCN
ord-4ff402c7888d44fe913570785a9d0582_0,CC(C)=CCC[C@@H](C)CC=O
ord-cd6f9f42e3be49f9bcc09c2ba8fba348_0,COc1cccc(-c2nc(CBr)sc2Br)c1
ord-a30c9fa283494f09879056a517b47a7f_0,COC(=O)CC1=C(c2cccc(OC)c2)CC(C)(C)CC1
ord-9bf525dbeb9e4327955b1bfdbc46e2aa_0,Nc1cc(Cl)cnc1Oc1ccccc1F
ord-6aeb20adfbb747df8ba39445bdee1122_1,Nc1cc(C(F)(F)F)ccc1[N+](=O)[O-]
ord-68554c41a5d445eaa5920f338281bc55_0,Cc1cc(F)ccc1-c1cc(NC[C@@H]2CCCN2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
